Sex,Hood,PlantNum,StalkTrt,Color,PollenRemoval,nRows,SumNumFruits,SumAbts,SumDestr,SumDeh,SumSeedNum,SumSeedWeight,FruitsetPerc,ArcsinePerset,SeedsDivSetfruit
F,3,1,C,white,No,1,10,1,0,0,31,0.0295,0.9,1.119769515,3.444444444
F,3,1,HP,white,No,3,5,0,0,0,17,0.0173,1,1.570796327,3.4
H,3,1,C,white,No,1,2,0,2,0,0,0,1,1.570796327,
H,3,1,HP,white,No,1,3,1,1,0,15,0.0101,0.666666667,0.729727656,15
F,3,2,C,white,No,1,4,0,0,0,28,0.0238,1,1.570796327,7
F,3,2,HP,white,No,3,10,2,3,0,33,0.0349,0.8,0.927295218,6.6
H,3,2,C,white,No,1,2,1,1,0,0,0,0.5,0.523598776,
H,3,2,HP,white,No,1,5,2,0,0,28,0.0211,0.6,0.643501109,9.333333333
F,3,3,C,white,No,2,3,1,0,0,13,0.0115,0.666666667,0.729727656,6.5
F,3,3,HP,white,No,1,1,1,0,0,0,0,0,0,
H,3,3,C,white,No,2,3,3,0,0,0,0,0,0,
H,3,3,HP,white,No,1,4,1,2,0,9,0.0093,0.75,0.848062079,9
F,3,1,C,yellow,Yes,3,14,0,1,3,102,0.0935,1,1.570796327,7.846153846
F,3,1,HP,yellow,Yes,2,18,1,8,0,114,0.0744,0.944444444,1.235900168,12.66666667
H,3,1,C,yellow,Yes,1,3,1,0,0,21,0.0191,0.666666667,0.729727656,10.5
F,3,2,C,yellow,Yes,3,14,0,9,0,55,0.0558,1,1.570796327,11
F,3,2,HP,yellow,Yes,2,10,0,7,0,32,0.0312,1,1.570796327,10.66666667
H,3,2,C,yellow,Yes,1,6,2,1,0,35,0.0263,0.666666667,0.729727656,11.66666667
H,3,2,HP,yellow,Yes,2,14,2,5,0,103,0.0847,0.857142857,1.029696801,14.71428571
F,3,7,HP,yellow,Yes,1,4,0,3,0,14,0.0109,1,1.570796327,14
F,4,2,C,black,Yes,1,1,1,0,0,0,0,0,0,
H,4,2,C,black,Yes,1,1,1,0,0,0,0,0,0,
F,4,3,C,black,Yes,1,1,1,0,0,0,0,0,0,
F,4,3,HP,black,Yes,1,1,1,0,0,0,0,0,0,
F,4,1,C,blue,No,1,2,0,0,0,13,0.0122,1,1.570796327,6.5
F,4,1,HP,blue,No,1,8,1,2,0,24,0.0243,0.875,1.065435817,4.8
H,4,1,C,blue,No,2,6,1,3,0,18,0.0173,0.833333333,0.985110783,9
H,4,1,HP,blue,No,3,10,4,2,0,38,0,0.6,0.643501109,9.5
F,4,2,C,blue,No,1,1,0,0,0,14,0.012,1,1.570796327,14
H,4,2,C,blue,No,2,1,1,0,1,4,0.0024,0.5,0.523598776,
H,4,2,HP,blue,No,2,14,3,1,0,49,0.0393,0.785714286,0.903849982,4.9
F,4,3,C,blue,No,1,4,0,0,0,0,0,1,1.570796327,0
F,4,3,HP,blue,No,1,8,0,5,0,13,0,1,1.570796327,4.333333333
H,4,3,C,blue,No,1,10,5,3,0,8,0.008,0.5,0.523598776,4
H,4,1,HP,green,No,1,1,0,0,0,15,0.0078,1,1.570796327,15
F,4,2,C,green,No,2,9,0,3,0,26,0.0177,1,1.570796327,4.333333333
F,4,2,HP,green,No,2,2,2,0,0,0,0,0,0,
F,4,3,C,green,No,1,1,1,0,0,0,0,0,0,
F,4,1,C,pink,Pre,2,7,2,1,0,16,0.0118,0.714285714,0.795602953,4
F,4,1,HP,pink,Pre,1,2,1,0,0,2,0,0.5,0.523598776,2
H,4,1,C,pink,Pre,3,15,8,2,0,53,0.0405,0.466666667,0.485518122,10.6
H,4,1,HP,pink,Pre,5,9,3,1,0,33,0.0263,0.666666667,0.729727656,6.6
H,4,1,P,pink,Pre,1,2,2,0,0,0,0,0,0,
F,4,2,C,pink,Pre,2,12,4,2,0,66,0.0568,0.666666667,0.729727656,11
F,4,2,HP,pink,Pre,4,9,1,1,0,67,0.0504,0.888888889,1.094914077,9.571428571
H,4,2,C,pink,Pre,3,9,2,1,0,85,0.0802,0.777777778,0.891122508,14.16666667
H,4,2,HP,pink,Pre,3,11,5,2,0,15,0.0154,0.545454545,0.576931345,3.75
F,4,3,C,pink,Pre,1,9,7,1,0,3,0,0.222222222,0.224093092,3
F,4,3,HP,pink,Pre,1,1,1,0,0,0,0,0,0,
H,4,3,C,pink,Pre,4,12,2,5,0,37,0.0222,0.833333333,0.985110783,7.4
H,4,3,HP,pink,Pre,1,5,0,4,0,2,0,1,1.570796327,2
F,4,1,C,red,Pre,2,2,1,1,0,0,0,0.5,0.523598776,
F,4,1,HP,red,Pre,1,1,0,0,0,1,0,1,1.570796327,1
F,4,2,C,red,Pre,1,2,1,0,0,3,0,0.5,0.523598776,3
F,4,2,HP,red,Pre,3,4,2,0,0,5,0.0031,0.5,0.523598776,2.5
H,4,2,C,red,Pre,1,10,3,5,0,26,0.0278,0.7,0.775397497,13
H,4,2,HP,red,Pre,2,13,9,1,0,5,0.0048,0.307692308,0.312766722,1.666666667
F,4,3,C,red,Pre,2,5,2,0,0,11,0.0085,0.6,0.643501109,3.666666667
F,4,3,HP,red,Pre,2,7,3,0,0,9,0.0061,0.571428571,0.608245579,2.25
H,4,3,C,red,Pre,1,2,0,1,0,2,0,1,1.570796327,2
H,4,1,C,white,Yes,2,3,1,0,0,6,0.0052,0.666666667,0.729727656,3
H,4,1,HP,white,Yes,1,4,1,0,0,20,0.0139,0.75,0.848062079,6.666666667
F,4,2,C,white,Yes,1,3,0,0,0,17,0.0139,1,1.570796327,5.666666667
F,4,2,HP,white,Yes,2,3,1,0,0,8,0.0073,0.666666667,0.729727656,4
H,4,2,C,white,Yes,1,1,0,0,0,1,0,1,1.570796327,1
H,4,2,HP,white,Yes,1,1,0,0,0,4,0.004,1,1.570796327,4
F,4,3,C,white,Yes,2,4,0,4,0,0,0,1,1.570796327,
F,4,3,HP,white,Yes,1,3,0,2,0,4,0.0033,1,1.570796327,4
H,4,3,C,white,Yes,1,3,0,0,0,4,0.0047,1,1.570796327,1.333333333
F,4,1,C,yellow,No,2,7,0,2,0,68,0.0606,1,1.570796327,13.6
F,4,1,HP,yellow,No,2,11,0,3,0,114,0.1007,1,1.570796327,14.25
H,4,1,C,yellow,No,3,9,1,3,0,39,0.0344,0.888888889,1.094914077,7.8
H,4,1,HP,yellow,No,2,9,1,2,0,61,0.0513,0.888888889,1.094914077,10.16666667
F,4,2,C,yellow,No,2,12,0,6,0,69,0.0607,1,1.570796327,11.5
F,4,2,HP,yellow,No,1,6,0,4,0,34,0.0286,1,1.570796327,17
H,4,2,C,yellow,No,2,6,0,3,0,38,0.029,1,1.570796327,12.66666667
H,4,2,HP,yellow,No,2,7,0,3,0,51,0.0482,1,1.570796327,12.75
F,5,1,C,black,No,1,1,1,0,0,0,0,0,0,
H,5,1,C,black,No,1,4,2,0,0,2,0,0.5,0.523598776,1
H,5,1,HP,black,No,1,1,1,0,0,0,0,0,0,
F,5,2,HP,black,No,2,3,3,0,0,0,0,0,0,
H,5,2,C,black,No,1,2,2,0,0,0,0,0,0,
H,5,2,HP,black,No,1,2,2,0,0,0,0,0,0,
F,5,3,C,black,No,1,1,0,0,0,1,0,1,1.570796327,1
F,5,3,HP,black,No,1,1,1,0,0,0,0,0,0,
H,5,3,HP,black,No,1,5,2,0,0,6,0.0042,0.6,0.643501109,2
F,5,1,C,blue,Yes,2,2,0,0,0,9,0.008,1,1.570796327,4.5
F,5,1,HP,blue,Yes,2,5,0,0,0,68,0.0571,1,1.570796327,13.6
H,5,1,C,blue,Yes,3,11,8,1,0,6,0.0053,0.272727273,0.276226631,3
H,5,1,HP,blue,Yes,3,7,2,0,0,31,0.033,0.714285714,0.795602953,6.2
F,5,2,C,blue,Yes,1,7,0,1,0,83,0.0751,1,1.570796327,13.83333333
F,5,2,HP,blue,Yes,1,3,0,1,0,31,0.0291,1,1.570796327,15.5
H,5,2,C,blue,Yes,2,12,5,0,0,11,0.0128,0.583333333,0.622826585,1.571428571
H,5,2,HP,blue,Yes,3,9,0,4,1,28,0.0304,1,1.570796327,5.6
F,5,3,C,blue,Yes,1,1,0,1,0,0,0,1,1.570796327,
H,5,3,HP,blue,Yes,3,5,3,1,0,1,0,0.4,0.411516846,1
H,5,1,HP,green,Yes,1,1,0,0,0,1,0,1,1.570796327,1
F,5,2,C,green,Yes,1,1,1,0,0,0,0,0,0,
F,5,2,HP,green,Yes,1,6,1,0,0,28,0.0303,0.833333333,0.985110783,5.6
F,5,3,C,green,Yes,2,4,2,0,0,9,0.0042,0.5,0.523598776,4.5
F,5,3,HP,green,Yes,2,3,1,0,0,8,0.0076,0.666666667,0.729727656,4
H,5,3,C,green,Yes,1,4,1,0,0,11,0.0082,0.75,0.848062079,3.666666667
H,5,3,HP,green,Yes,1,4,1,1,0,9,0.0084,0.75,0.848062079,4.5
F,5,1,C,pink,Pre,2,6,3,0,0,26,0.0178,0.5,0.523598776,8.666666667
F,5,1,HP,pink,Pre,3,7,0,2,0,53,0.0489,1,1.570796327,10.6
H,5,1,C,pink,Pre,2,11,7,0,0,4,0.0039,0.363636364,0.372168534,1
H,5,1,HP,pink,Pre,3,12,9,0,0,3,0,0.25,0.252680255,1
F,5,2,C,pink,Pre,3,11,3,3,1,41,0.0401,0.75,0.848062079,8.2
F,5,2,HP,pink,Pre,4,11,10,0,0,5,0,0.090909091,0.091034778,5
H,5,2,C,pink,Pre,3,15,8,2,0,12,0.0097,0.466666667,0.485518122,2.4
H,5,2,HP,pink,Pre,1,3,1,1,0,3,0.0026,0.666666667,0.729727656,3
F,5,3,C,pink,Pre,4,16,3,3,0,52,0.0453,0.8125,0.948427838,5.2
F,5,3,HP,pink,Pre,2,7,1,2,0,20,0.0115,0.857142857,1.029696801,5
H,5,3,C,pink,Pre,2,4,1,0,0,29,0.018,0.75,0.848062079,9.666666667
H,5,3,HP,pink,Pre,5,12,7,0,0,16,0.0089,0.416666667,0.429775431,3.2
F,5,1,C,red,Pre,1,1,0,0,0,7,0.0077,1,1.570796327,7
H,5,1,C,red,Pre,1,3,0,0,0,3,0,1,1.570796327,1
F,5,2,C,red,Pre,3,4,2,0,0,5,0.0062,0.5,0.523598776,2.5
F,5,2,HP,red,Pre,1,1,1,0,0,0,0,0,0,
