ID,target_name,amp_score,amp_status,task,Ct,Ct_mean,Ct_sd,quantity,quantity_mean,quantity_sd,intercept,r_squared,slope,efficiency,auto_threshold,threshold,auto_baseline,baseline_start,baseline_end,omit,run
P47,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
P48,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
P49,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
No Sample,BQCV,0,No Amp,NTC,Undetermined,NA,NA,-,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
P39,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
P40,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
P41,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
P42,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
P43,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
P44,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
P45,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
