Well,ID,target_name,Amp Score,Cq,Cq_mean,Cq_sd,Quantity,quantity_mean,Quantity Standard Deviation,Intercept,R-Squared,Slope,Efficiency,Threshold,Baseline End
C4,4,ACTIN,1.459,15.17,15.163,0.009,933467.4,937303.9,5425.625,36.5667,0.9988,-3.584,90.11565,0.267,9
C5,5,ACTIN,1.471,14.849,14.861,0.018,1147505.9,1138054.8,13365.938,36.5667,0.9988,-3.584,90.11565,0.267,9
C6,6,ACTIN,1.448,15.057,15.039,0.025,1003632.4,1015214.9,16380.1,36.5667,0.9988,-3.584,90.11565,0.267,9
C7,7,ACTIN,1.456,15.153,15.137,0.023,943711.6,953533.94,13890.849,36.5667,0.9988,-3.584,90.11565,0.267,9
C8,8,ACTIN,1.443,15.441,15.429,0.017,784170.6,790303.6,8673.362,36.5667,0.9988,-3.584,90.11565,0.267,10
C9,9,ACTIN,1.464,15.636,15.608,0.039,691923,704418.4,17671.115,36.5667,0.9988,-3.584,90.11565,0.267,10
C10,10,ACTIN,1.444,15.524,15.556,0.045,743464.56,728493.06,21172.918,36.5667,0.9988,-3.584,90.11565,0.267,9
C11,11,ACTIN,1.457,15.084,15.054,0.041,986624.75,1005505.8,26701.826,36.5667,0.9988,-3.584,90.11565,0.267,9
C12,12,ACTIN,1.438,15.254,15.234,0.027,884624.9,895645.6,15585.734,36.5667,0.9988,-3.584,90.11565,0.267,9
D1,1,ACTIN,1.452,15.24,15.281,0.059,892496.06,869261.75,32858.28,36.5667,0.9988,-3.584,90.11565,0.267,9
D2,2,ACTIN,1.465,15.089,15.142,0.074,983042.4,951013.2,45296.1,36.5667,0.9988,-3.584,90.11565,0.267,9
D3,3,ACTIN,1.454,15.686,15.701,0.022,670207.9,663530.44,9443.382,36.5667,0.9988,-3.584,90.11565,0.267,10
D4,4,ACTIN,1.469,15.157,15.163,0.009,941140.4,937303.9,5425.625,36.5667,0.9988,-3.584,90.11565,0.267,9
D5,5,ACTIN,1.456,14.874,14.861,0.018,1128603.6,1138054.8,13365.938,36.5667,0.9988,-3.584,90.11565,0.267,9
D6,6,ACTIN,1.474,15.022,15.039,0.025,1026797.3,1015214.9,16380.1,36.5667,0.9988,-3.584,90.11565,0.267,9
D7,7,ACTIN,1.458,15.121,15.137,0.023,963356.25,953533.94,13890.849,36.5667,0.9988,-3.584,90.11565,0.267,9
D8,8,ACTIN,1.455,15.417,15.429,0.017,796436.6,790303.6,8673.362,36.5667,0.9988,-3.584,90.11565,0.267,10
D9,9,ACTIN,1.45,15.581,15.608,0.039,716913.75,704418.4,17671.115,36.5667,0.9988,-3.584,90.11565,0.267,9
D10,10,ACTIN,1.462,15.588,15.556,0.045,713521.56,728493.06,21172.918,36.5667,0.9988,-3.584,90.11565,0.267,10
D11,11,ACTIN,1.455,15.025,15.054,0.041,1024386.9,1005505.8,26701.826,36.5667,0.9988,-3.584,90.11565,0.267,9
D12,12,ACTIN,1.457,15.215,15.234,0.027,906666.44,895645.6,15585.734,36.5667,0.9988,-3.584,90.11565,0.267,9
E1,13,DWV,0,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,0.137,39
E2,14,DWV,0,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,0.137,39
E3,15,DWV,0,Undetermined,36.669,NA,1.53E+10,0.392,NA,35.2228,0.993,-3.5567,91.05548,0.137,39
E4,16,DWV,0,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,0.137,39
F1,13,DWV,0,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,0.137,39
F2,14,DWV,0,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,0.137,39
F3,15,DWV,1.251,36.669,36.669,NA,0.392,0.392,NA,35.2228,0.993,-3.5567,91.05548,0.137,32
F4,16,DWV,0,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,0.137,39
G1,13,ACTIN,1.433,15.501,15.378,0.174,754690.06,819283.4,91348.73,36.5667,0.9988,-3.584,90.11565,0.267,10
G2,14,ACTIN,1.445,15.091,15.137,0.065,981916.06,953628.5,40004.707,36.5667,0.9988,-3.584,90.11565,0.267,9
G3,15,ACTIN,1.446,15.249,15.262,0.019,887346.7,879882.94,10555.291,36.5667,0.9988,-3.584,90.11565,0.267,9
G4,16,ACTIN,1.448,15.157,15.163,0.007,941032,937866.6,4476.469,36.5667,0.9988,-3.584,90.11565,0.267,9
H1,13,ACTIN,1.431,15.255,15.378,0.174,883876.7,819283.4,91348.73,36.5667,0.9988,-3.584,90.11565,0.267,9
H2,14,ACTIN,1.453,15.183,15.137,0.065,925340.9,953628.5,40004.707,36.5667,0.9988,-3.584,90.11565,0.267,9
H3,15,ACTIN,1.445,15.275,15.262,0.019,872419.25,879882.94,10555.291,36.5667,0.9988,-3.584,90.11565,0.267,9
H4,16,ACTIN,1.449,15.168,15.163,0.007,934701.3,937866.6,4476.469,36.5667,0.9988,-3.584,90.11565,0.267,9
