ID,Colony ,Treatment ,Time,Exp,DateInnoc,DateFed,ColonyID,rounds of flowers,#bees taken,DateMicroMade,NumBeesAfTrans,DateMicroTrans,DateSacrificed,notes
179,1,C,NA,Trans,NA,NA,1,NA,8,30-Aug,8,1-Sep,5-Sep,
180,1,C,NA,Trans,NA,NA,1,NA,8,30-Aug,8,1-Sep,5-Sep,
181,1,C,NA,Trans,NA,NA,1,NA,8,30-Aug,8,1-Sep,5-Sep,escape
182,1,C,NA,Trans,NA,NA,1,NA,8,30-Aug,8,1-Sep,5-Sep,
183,1,C,NA,Trans,NA,NA,1,NA,8,30-Aug,8,1-Sep,5-Sep,
184,1,C,NA,Trans,NA,NA,1,NA,8,30-Aug,8,1-Sep,5-Sep,
185,1,C,NA,Trans,NA,NA,1,NA,8,30-Aug,8,1-Sep,5-Sep,
186,1,HIT,NA,Trans,NA,NA,4,3,6,30-Aug,10,1-Sep,5-Sep,
187,1,HIT,NA,Trans,NA,NA,4,3,6,30-Aug,10,1-Sep,5-Sep,
188,1,HIT,NA,Trans,NA,NA,4,3,6,30-Aug,10,1-Sep,5-Sep,
189,1,HIT,NA,Trans,NA,NA,4,3,6,30-Aug,10,1-Sep,5-Sep,
190,1,HIT,NA,Trans,NA,NA,4,3,6,30-Aug,10,1-Sep,5-Sep,
191,1,HIT,NA,Trans,NA,NA,4,3,6,30-Aug,10,1-Sep,5-Sep,
192,3,HIT,NA,Trans,NA,NA,6,3,5,30-Aug,7,1-Sep,5-Sep,
193,3,HIT,NA,Trans,NA,NA,6,3,5,30-Aug,7,1-Sep,5-Sep,
194,3,HIT,NA,Trans,NA,NA,6,3,5,30-Aug,7,1-Sep,5-Sep,
195,3,HIT,NA,Trans,NA,NA,6,3,5,30-Aug,7,1-Sep,5-Sep,
196,3,HIT,NA,Trans,NA,NA,6,3,5,30-Aug,7,1-Sep,5-Sep,
197,1,HBT,NA,Trans,NA,NA,7,3,8,30-Aug,11,1-Sep,5-Sep,
198,1,HBT,NA,Trans,NA,NA,7,3,8,30-Aug,11,1-Sep,5-Sep,
199,1,HBT,NA,Trans,NA,NA,7,3,8,30-Aug,11,1-Sep,5-Sep,
200,1,HBT,NA,Trans,NA,NA,7,3,8,30-Aug,11,1-Sep,5-Sep,
201,1,HBT,NA,Trans,NA,NA,7,3,8,30-Aug,11,1-Sep,5-Sep,
202,1,HBT,NA,Trans,NA,NA,7,3,8,30-Aug,11,1-Sep,5-Sep,
203,1,HBT,NA,Trans,NA,NA,7,3,8,30-Aug,11,1-Sep,5-Sep,
204,1,HBT,NA,Trans,NA,NA,7,3,8,30-Aug,11,1-Sep,5-Sep,escape
