Well,ID,target_name,Amp Score,Amp Status,Task,Cq,Cq_mean,Cq Standard Deviation,Quantity,quantity_mean,Quantity Standard Deviation,Intercept,R-Squared,Slope,Efficiency,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Omit,Plate
D3,8.2,DWV,1.218,Amp,UNKNOWN,34.471,33.301,1.655,1.627,4.515,4.084,35.2228,0.993,-3.5567,91.05548,TRUE,0.044,TRUE,3,31,FALSE,40
G3,8.2,ACTIN,1.385,Amp,UNKNOWN,30.766,30.766,NA,41.54,41.54,NA,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,27,FALSE,40
H3,8.2,ACTIN,0,No Amp,UNKNOWN,Undetermined,30.766,NA,3.03E+10,41.54,NA,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,39,FALSE,40
A4,8.3,DWV,0.859,No Amp,UNKNOWN,38.349,38.349,NA,0.132,0.132,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.044,TRUE,3,35,FALSE,40
B4,8.3,DWV,0,No Amp,UNKNOWN,Undetermined,38.349,NA,1.53E+10,0.132,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.044,TRUE,3,39,FALSE,40
E4,8.3,ACTIN,0.967,No Amp,UNKNOWN,38.129,34.621,4.962,0.366,16.812,23.257,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,34,FALSE,40
F4,8.3,ACTIN,1.385,Amp,UNKNOWN,31.112,34.621,4.962,33.257,16.812,23.257,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,27,FALSE,40
C8,9.1,DWV,1.21,Amp,UNKNOWN,34.189,36.582,3.384,1.953,1.021,1.319,35.2228,0.993,-3.5567,91.05548,TRUE,0.044,TRUE,3,31,FALSE,40
D8,9.1,DWV,0.762,No Amp,UNKNOWN,38.974,36.582,3.384,0.088,1.021,1.319,35.2228,0.993,-3.5567,91.05548,TRUE,0.044,TRUE,3,35,FALSE,40
G8,9.1,ACTIN,0,No Amp,UNKNOWN,Undetermined,32.006,NA,3.03E+10,18.727,NA,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,39,FALSE,40
H8,9.1,ACTIN,1.392,Amp,UNKNOWN,32.006,32.006,NA,18.727,18.727,NA,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,28,FALSE,40
G2,12.1,ACTIN,1.3,Amp,UNKNOWN,32.815,32.815,NA,11.137,11.137,NA,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,29,FALSE,40
H2,12.1,ACTIN,0,No Amp,UNKNOWN,Undetermined,32.815,NA,3.03E+10,11.137,NA,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,39,FALSE,40
A8,12.2,DWV,1.201,Amp,UNKNOWN,24.183,24.314,0.186,1270.804,1171.473,140.475,35.2228,0.993,-3.5567,91.05548,TRUE,0.044,TRUE,3,21,FALSE,40
B8,12.2,DWV,1.195,Amp,UNKNOWN,24.445,24.314,0.186,1072.143,1171.473,140.475,35.2228,0.993,-3.5567,91.05548,TRUE,0.044,TRUE,3,21,FALSE,40
