ID,Cq_mean,target_name,quantity_mean,Plate,ng.ul,dil.factor,genomeCopy,ACT_genomeCopy,PresentAbs,NormGenomeCopy,Colony,Treatment,Time,Exp,DateInnoc,DateFed,ColonyID,rounds.of.flowers,X.bees.taken,DateMicroMade,NumBeesAfTrans,DateMicroTrans,DateSacrificed,notes
212,NA,DWV,NA,38,62.3,3.1,0,29739013,0,0,1,C,NA,Trans,NA,NA,10,NA,4,9/3/18,10,7-Sep,11-Sep,
8,33.29,DWV,3.494,38,113.46,5.7,4978.95,1328335.125,0,2523282.424,2,C,6,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,DWV,NA,39,69.05,3.5,0,326214962.5,0,0,2,C,1,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,DWV,NA,39,53.16,2.7,0,261534636,0,0,2,C,49,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,NA,DWV,NA,39,121.07,6.1,0,473860108.5,0,0,2,C,120,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,DWV,NA,39,94.21,4.7,0,616904081.3,0,0,3,C,109,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,DWV,NA,39,49.53,2.5,0,300749200,0,0,3,C,52,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,DWV,NA,39,40,2,0,99797300,0,0,1,C,21,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,39.547,DWV,0.061,39,67.23,3.4,51.85,579107601,0,60.27333885,4,C,81,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,38.02,DWV,0.163,39,56.6,2.8,114.1,83380560.2,0,921.2056443,3,C,14,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NA,DWV,NA,41,87.64,4.4,0,552123968,0,0,4,C,120,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,DWV,NA,41,63.64,3.2,0,71692016,0,0,3,C,40,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,NA,DWV,NA,41,83.4,4.2,0,702466380,0,0,1,C,NA,Trans,NA,NA,1,NA,8,30-Aug,8,1-Sep,5-Sep,escape
172,37.491,DWV,0.23,41,121.82,6.1,350.75,2696096148,0,87.57861208,2,C,NA,Trans,NA,NA,2,NA,3,30-Aug,8,1-Sep,5-Sep,
13,36.148,DWV,2.797,41,101.34,5.1,3566.175,1170422205,0,2051.142593,3,C,28,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,NA,DWV,NA,35,84.19,4.2,0,1705442340,0,0,1,HBT,NA,Trans,NA,NA,7,3,8,30-Aug,11,1-Sep,5-Sep,
202,NA,DWV,NA,35,78.88,3.9,0,1079066723,0,0,1,HBT,NA,Trans,NA,NA,7,3,8,30-Aug,11,1-Sep,5-Sep,
203,NA,DWV,NA,35,41,2.1,0,404829731.3,0,0,1,HBT,NA,Trans,NA,NA,7,3,8,30-Aug,11,1-Sep,5-Sep,
204,NA,DWV,NA,35,79.34,4,0,963046440,0,0,1,HBT,NA,Trans,NA,NA,7,3,8,30-Aug,11,1-Sep,5-Sep,escape
206,NA,DWV,NA,35,71.15,3.6,0,1420242390,0,0,2,HBT,NA,Trans,NA,NA,8,3,6,30-Aug,7,1-Sep,5-Sep,
208,NA,DWV,NA,35,36.39,1.8,0,365541552,0,0,2,HBT,NA,Trans,NA,NA,8,3,6,30-Aug,7,1-Sep,5-Sep,
209,NA,DWV,NA,35,128.35,6.4,0,1940336320,0,0,2,HBT,NA,Trans,NA,NA,8,3,6,30-Aug,7,1-Sep,5-Sep,
210,NA,DWV,NA,35,66.65,3.3,0,693303930,0,0,2,HBT,NA,Trans,NA,NA,8,3,6,30-Aug,7,1-Sep,5-Sep,
205,34.355,DWV,1.754,35,120.98,6,2631,2585830500,0,684.9463392,2,HBT,NA,Trans,NA,NA,8,3,6,30-Aug,7,1-Sep,5-Sep,
197,NA,DWV,NA,36,39.22,2,0,8819,0,0,1,HBT,NA,Trans,NA,NA,7,3,8,30-Aug,11,1-Sep,5-Sep,
198,NA,DWV,NA,36,81.82,4.1,0,1220061703,0,0,1,HBT,NA,Trans,NA,NA,7,3,8,30-Aug,11,1-Sep,5-Sep,
200,39.437,DWV,0.065,36,58.12,2.9,47.125,743301131.5,0,42.6797949,1,HBT,NA,Trans,NA,NA,7,3,8,30-Aug,11,1-Sep,5-Sep,
199,NA,DWV,NA,38,110.44,5.5,0,2102838.375,0,0,1,HBT,NA,Trans,NA,NA,7,3,8,30-Aug,11,1-Sep,5-Sep,
207,NA,DWV,NA,38,104.8,5.2,0,2575835.6,0,0,2,HBT,NA,Trans,NA,NA,8,3,6,30-Aug,7,1-Sep,5-Sep,
196,29.504,DWV,41.49,35,49.47,2.5,25931.25,487764000,1,35788.99171,3,HIT,NA,Trans,NA,NA,6,3,5,30-Aug,7,1-Sep,5-Sep,
189,NA,DWV,NA,36,21.05,1.1,0,5557569.05,0,0,1,HIT,NA,Trans,NA,NA,4,3,6,30-Aug,10,1-Sep,5-Sep,
190,NA,DWV,NA,36,119.04,6,0,34766953.5,0,0,1,HIT,NA,Trans,NA,NA,4,3,6,30-Aug,10,1-Sep,5-Sep,
191,NA,DWV,NA,36,22.22,1.1,0,25677470.5,0,0,1,HIT,NA,Trans,NA,NA,4,3,6,30-Aug,10,1-Sep,5-Sep,
192,NA,DWV,NA,36,29.65,1.5,0,37898306.25,0,0,3,HIT,NA,Trans,NA,NA,6,3,5,30-Aug,7,1-Sep,5-Sep,
194,NA,DWV,NA,36,72.25,3.6,0,152024.4,0,0,3,HIT,NA,Trans,NA,NA,6,3,5,30-Aug,7,1-Sep,5-Sep,
195,NA,DWV,NA,36,25.56,1.3,0,2056.6,0,0,3,HIT,NA,Trans,NA,NA,6,3,5,30-Aug,7,1-Sep,5-Sep,
186,31.289,DWV,12.779,37,43.36,2.2,7028.45,283653766,1,16680.41149,1,HIT,NA,Trans,NA,NA,4,3,6,30-Aug,10,1-Sep,5-Sep,
187,23.518,DWV,1954.321,37,77.7,3.9,1905462.975,470151279,1,2728340.985,1,HIT,NA,Trans,NA,NA,4,3,6,30-Aug,10,1-Sep,5-Sep,
167,NA,DWV,NA,41,52,2.6,0,650361010,0,0,2,HIT,NA,Trans,NA,NA,5,1,2,30-Aug,7,1-Sep,3-Sep,2 bees left on 9/3sacrificed then
26,35.775,DWV,0.7,32,35.96,1.8,315,180069345,1,1177.623662,2,T,7,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,30.983,DWV,15.926,32,82.41,4.1,16324.15,515315388,1,21325.20526,1,T,4,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,29.966,DWV,30.061,32,63.26,3.2,24048.8,468120560,1,34583.69952,3,T,7,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,29.785,DWV,34.42,32,35.6,1.8,15489,161704053,1,64481.95986,1,T,7,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,27.795,DWV,122.595,32,61.87,3.1,95011.125,424346166,1,150726.6103,2,T,17,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
